-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 01/01/2021 
Location: Latitude  45.3859   Longitude -75.7107 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 123.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
WS2M_MAX              MERRA-2 Wind Speed at 2 Meters Maximum (m/s) 
WS2M_MIN              MERRA-2 Wind Speed at 2 Meters Minimum (m/s) 
WS2M_RANGE            MERRA-2 Wind Speed at 2 Meters Range (m/s) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETPROF              MERRA-2 Profile Soil Moisture (1) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
TOA_SW_DWN            CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,T2M_MAX,T2M_MIN,ALLSKY_SFC_LW_DWN,PRECTOTCORR,WS2M,WS2M_MAX,WS2M_MIN,WS2M_RANGE,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,GWETTOP,GWETROOT,GWETPROF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN
2019,1,-9.75,-1.92,-21.82,236.3,9.43,1.34,2.02,0.71,1.31,4.07,5.9,2.46,3.45,0.78,0.76,0.79,5.15,6.92,10.41
2019,2,-19.03,-15.13,-23.4,187.03,0.53,0.6,0.98,0.18,0.8,1.77,2.6,0.46,2.14,0.78,0.76,0.79,7.4,7.72,10.47
2019,3,-10.24,-5.18,-14.93,255.46,1.98,0.59,0.88,0.3,0.58,1.81,2.77,0.79,1.98,0.78,0.76,0.79,2.65,6.73,10.53
2019,4,-1.88,0.28,-4.77,296.55,2.4,0.89,1.36,0.49,0.87,2.65,3.76,1.4,2.36,0.8,0.76,0.79,1.29,6.65,10.6
2019,5,-1.95,0.55,-4.71,284.05,0.21,0.55,0.99,0.22,0.77,1.52,2.11,0.27,1.84,0.8,0.77,0.79,2.74,6.77,10.68
2019,6,-9.13,-3.89,-20.73,232.88,0.32,1.4,2.08,0.71,1.37,4.01,5.59,2.18,3.41,0.79,0.77,0.8,4.3,7.54,10.76
2019,7,-18.84,-13.45,-25.81,212.49,2.75,1.12,2.08,0.34,1.74,3.2,5.55,0.86,4.7,0.78,0.77,0.8,3.92,7.97,10.84
2019,8,-2.08,0.42,-12.25,289.75,4.73,1.0,1.7,0.25,1.45,2.77,4.62,0.56,4.05,0.8,0.77,0.8,2.78,7.04,10.93
2019,9,-1.59,0.34,-3.07,283.74,1.25,1.52,2.3,0.84,1.46,3.89,5.76,2.18,3.58,0.8,0.77,0.8,2.34,6.92,11.02
2019,10,-10.95,-3.5,-16.74,235.73,0.96,2.46,2.77,1.99,0.77,6.35,7.14,5.2,1.95,0.79,0.77,0.8,3.43,7.8,11.12
2019,11,-20.35,-17.45,-24.26,172.17,0.03,1.61,2.03,0.85,1.17,4.26,5.24,2.89,2.35,0.79,0.77,0.8,7.62,8.44,11.22
2019,12,-23.35,-17.38,-29.12,164.44,0.15,0.95,1.2,0.81,0.38,2.69,2.91,2.51,0.4,0.79,0.77,0.8,8.19,8.42,11.33
2019,13,-20.74,-12.45,-27.9,215.12,0.0,0.84,1.06,0.46,0.6,2.15,2.73,1.22,1.52,0.78,0.77,0.8,5.08,8.49,11.44
2019,14,-14.65,-10.96,-19.17,208.48,0.01,0.55,0.79,0.24,0.55,1.27,2.23,0.33,1.89,0.78,0.77,0.8,6.46,8.34,11.56
2019,15,-7.32,-3.81,-11.93,256.55,0.22,0.62,1.21,0.09,1.12,1.68,3.17,0.19,2.98,0.78,0.77,0.8,3.66,7.76,11.68
2019,16,-9.74,-3.0,-22.9,229.71,1.22,2.07,3.51,0.92,2.59,5.05,8.2,2.84,5.36,0.78,0.77,0.8,5.61,8.28,11.81
2019,17,-19.64,-12.93,-25.77,180.93,0.05,0.82,1.28,0.18,1.1,1.92,3.16,0.23,2.92,0.78,0.77,0.8,7.56,8.79,11.94
2019,18,-14.52,-9.0,-22.13,233.12,1.62,1.06,2.16,0.16,1.98,2.62,5.26,0.36,4.89,0.78,0.77,0.8,4.06,7.85,12.08
2019,19,-23.45,-21.69,-26.57,196.51,1.14,1.26,1.81,1.05,0.77,3.02,4.19,2.25,1.94,0.78,0.77,0.8,3.68,8.89,12.22
2019,20,-21.01,-19.38,-24.09,205.91,8.68,2.1,2.66,1.55,1.11,4.82,6.09,3.58,2.52,0.78,0.77,0.8,2.94,8.89,12.37
2019,21,-25.57,-22.81,-28.03,173.4,0.41,2.52,2.93,1.59,1.33,5.84,6.66,4.01,2.64,0.78,0.77,0.8,4.78,9.55,12.52
2019,22,-24.2,-15.69,-33.77,187.11,0.25,0.97,1.54,0.58,0.96,2.38,3.62,1.17,2.45,0.78,0.77,0.8,7.17,9.53,12.67
2019,23,-6.31,0.33,-14.97,269.78,16.18,1.26,2.01,0.85,1.15,2.96,4.71,2.0,2.71,0.78,0.77,0.8,1.96,8.43,12.83
2019,24,-3.68,0.26,-13.58,275.48,6.28,1.4,2.52,0.27,2.24,3.27,5.45,0.88,4.56,0.8,0.77,0.8,2.68,8.49,12.99
2019,25,-13.53,-5.24,-19.42,224.28,1.17,1.56,3.43,0.28,3.15,3.71,7.68,0.38,7.3,0.79,0.77,0.8,5.58,9.28,13.16
2019,26,-18.1,-14.24,-20.52,198.02,0.38,0.8,1.23,0.36,0.88,2.11,3.07,0.8,2.27,0.79,0.77,0.8,7.92,9.83,13.33
2019,27,-12.42,-3.63,-26.06,228.27,2.41,2.01,3.42,0.84,2.58,4.63,7.55,2.7,4.84,0.79,0.77,0.8,4.17,9.42,13.51
2019,28,-25.68,-19.79,-33.47,170.98,0.42,1.22,2.2,0.6,1.6,2.82,4.87,1.59,3.28,0.79,0.77,0.8,9.3,10.31,13.69
2019,29,-11.31,-2.61,-19.33,252.41,5.16,1.77,3.23,0.54,2.7,4.09,7.07,1.84,5.23,0.79,0.77,0.8,2.03,9.14,13.87
2019,30,-16.67,-10.77,-23.21,201.38,0.64,1.7,2.41,0.78,1.62,3.98,5.3,2.64,2.66,0.78,0.77,0.8,7.38,10.54,14.06
2019,31,-19.18,-16.3,-21.32,189.4,0.37,1.73,2.55,0.55,2.0,3.89,5.48,1.67,3.8,0.78,0.77,0.8,8.13,10.81,14.25
2019,32,-18.35,-14.16,-22.82,172.84,0.34,1.41,2.09,0.68,1.41,3.34,4.4,2.13,2.27,0.78,0.77,0.8,10.34,10.97,14.45
2019,33,-12.44,-7.96,-17.39,232.38,4.81,1.41,2.02,0.81,1.2,3.23,4.34,2.3,2.05,0.78,0.77,0.8,2.91,10.15,14.65
2019,34,-12.06,-3.27,-19.25,254.48,3.69,1.07,1.8,0.33,1.48,2.52,3.69,1.06,2.62,0.78,0.77,0.8,3.47,9.32,14.85
2019,35,-0.41,0.48,-1.7,301.2,4.9,1.07,2.18,0.48,1.7,2.32,4.7,1.38,3.31,0.79,0.77,0.8,2.04,9.46,15.05
2019,36,-5.61,0.73,-17.46,257.73,3.72,2.2,3.53,0.83,2.7,4.62,7.08,2.51,4.58,0.86,0.79,0.81,5.21,10.8,15.27
2019,37,-13.63,-10.03,-19.08,250.53,2.82,1.38,2.3,0.67,1.62,3.15,4.68,1.81,2.86,0.8,0.78,0.81,2.45,10.57,15.48
2019,38,-6.61,0.25,-12.4,275.62,1.58,1.3,2.4,0.57,1.83,2.73,5.02,1.4,3.62,0.8,0.78,0.81,5.2,9.81,15.7
2019,39,-3.45,0.63,-10.96,268.72,2.07,3.28,4.42,1.47,2.95,6.68,8.82,3.38,5.45,0.84,0.79,0.81,3.91,11.43,15.92
2019,40,-13.74,-10.59,-18.35,180.18,0.03,2.6,3.8,0.91,2.9,5.52,7.85,2.67,5.18,0.8,0.79,0.81,11.31,12.48,16.14
2019,41,-13.74,-7.63,-19.77,186.82,0.04,1.07,2.25,0.64,1.62,2.73,4.45,1.84,2.62,0.8,0.78,0.81,11.85,12.34,16.37
2019,42,-16.37,-12.9,-22.36,180.79,0.06,1.2,1.78,0.65,1.13,2.8,3.39,2.02,1.36,0.8,0.78,0.81,12.54,12.66,16.6
2019,43,-17.31,-9.03,-25.39,223.34,11.07,2.48,4.05,0.95,3.11,5.15,8.1,2.74,5.36,0.8,0.78,0.81,2.61,12.37,16.83
2019,44,-5.73,-1.14,-8.6,264.46,9.62,2.38,4.05,1.44,2.61,4.77,8.09,2.95,5.13,0.8,0.78,0.81,5.92,11.88,17.07
2019,45,-9.68,-6.65,-14.28,226.77,0.17,1.64,2.52,0.42,2.1,3.34,5.12,0.68,4.45,0.8,0.78,0.81,11.89,13.3,17.3
2019,46,-3.54,0.49,-8.55,284.93,4.2,2.66,3.45,2.11,1.34,5.27,6.7,4.25,2.45,0.81,0.78,0.82,3.0,11.62,17.55
2019,47,-8.79,-4.92,-18.42,218.56,0.16,2.17,2.71,0.88,1.83,4.49,5.41,2.67,2.74,0.8,0.78,0.82,12.27,13.55,17.79
2019,48,-17.8,-12.06,-24.56,189.62,0.0,0.93,1.23,0.52,0.71,2.32,2.97,1.24,1.73,0.8,0.78,0.82,12.3,14.02,18.04
