POLYID,Year,Month,Day,Julian,Tmax,Tmin,Tmean,Precip,Rain,Snow,WindSpeed,Rad,RH
244003,1983,1,1,1,-14.71,-18.32,-16.52,0,0,0,0.42,1.05,99.94
244003,1983,1,2,2,-16.57,-19.26,-17.91,0,0,0,0.42,1.16,97.19
244003,1983,1,3,3,-14.38,-24.44,-19.41,0,0,0,0.62,1.15,98.25
244003,1983,1,4,4,-21.52,-24.31,-22.91,0,0,0,0.5,1.15,99.19
244003,1983,1,5,5,-22.88,-26.09,-24.48,2.61,0,2.61,0.59,1.14,99.06
244003,1983,1,6,6,-21.96,-25.99,-23.98,2.01,0,2.01,0.71,1.29,99.19
244003,1983,1,7,7,-11.52,-24.03,-17.77,3.33,0,3.33,0.45,1.26,99.44
244003,1983,1,8,8,-11.8,-26.92,-19.36,3.02,0,3.02,0.79,1.34,99.19
244003,1983,1,9,9,-27.3,-32.02,-29.66,0,0,0,0.77,1.32,98.5
244003,1983,1,10,10,-30.3,-37.1,-33.7,0,0,0,0.95,1.39,96.62
244003,1983,1,11,11,-23.56,-29.83,-26.7,12.36,0,12.36,0.94,1.41,99
244003,1983,1,12,12,-23.45,-25.88,-24.66,5.2,0,5.2,0.52,1.46,99.88
244003,1983,1,13,13,-23.45,-29.67,-26.56,0,0,0,0.69,1.53,99.19
244003,1983,1,14,14,-19.54,-26,-22.77,3.57,0,3.57,0.54,1.61,99.56
244003,1983,1,15,15,-12.2,-18.8,-15.5,0,0,0,0.76,1.66,98.75
244003,1983,1,16,16,-12.97,-18.07,-15.52,0,0,0,0.53,1.59,98.44
244003,1983,1,17,17,-7.54,-16.1,-11.82,0,0,0,0.48,1.63,89.31
244003,1983,1,18,18,-8.92,-19.7,-14.31,1.53,0,1.53,0.65,1.75,99.06
244003,1983,1,19,19,-8.5,-19.99,-14.24,0,0,0,0.49,1.76,97
244003,1983,1,20,20,-6.02,-17.21,-11.62,0,0,0,0.66,1.96,99.38
244003,1983,1,21,21,-16.35,-29.3,-22.83,0,0,0,0.81,2,99.19
244003,1983,1,22,22,-24.01,-29.31,-26.66,0,0,0,0.7,2.09,99.19
244003,1983,1,23,23,-26.02,-35.38,-30.7,0,0,0,0.7,2.16,99.06
244003,1983,1,24,24,-33.09,-39.46,-36.28,0,0,0,0.81,2.03,99.19
244003,1983,1,25,25,-29.35,-39.35,-34.35,0,0,0,0.36,2.41,99.31
244003,1983,1,26,26,-24.03,-29.73,-26.88,1.7,0,1.7,0.45,2.37,100
244003,1983,1,27,27,-17.07,-22.96,-20.02,0,0,0,0.4,2.52,99.94
244003,1983,1,28,28,-4.91,-19.64,-12.28,0,0,0,0.72,2.54,99.62
244003,1983,1,29,29,-9.26,-12.92,-11.09,1.82,0,1.82,0.5,2.59,90.69
244003,1983,1,30,30,-13.31,-20.57,-16.94,0,0,0,0.42,2.69,99.5
244003,1983,1,31,31,-18.44,-23.35,-20.9,0,0,0,0.44,2.8,99
244003,1983,2,1,32,-19.69,-25.35,-22.52,0,0,0,0.51,2.86,99.12
244003,1983,2,2,33,-22.45,-28.14,-25.3,0,0,0,0.38,3.15,99.31
244003,1983,2,3,34,-18.92,-23.21,-21.07,4.33,0,4.33,0.34,3.13,98.94
244003,1983,2,4,35,-19.11,-24.6,-21.86,0,0,0,0.53,3.05,99.12
244003,1983,2,5,36,-18.31,-24.79,-21.55,0,0,0,0.27,3.39,98.62
244003,1983,2,6,37,-18.98,-23.99,-21.48,0,0,0,0.38,3.83,99.44
244003,1983,2,7,38,-17.27,-24.36,-20.81,0,0,0,0.41,3.51,99.19
244003,1983,2,8,39,-9.81,-19.99,-14.9,0,0,0,0.4,3.95,98.31
244003,1983,2,9,40,-18.27,-23.56,-20.91,0,0,0,0.45,3.92,99.69
244003,1983,2,10,41,-16.27,-20.88,-18.57,3.22,0,3.22,0.55,4.08,99.5
244003,1983,2,11,42,-17.29,-22.67,-19.98,9.7,0,9.7,0.44,4.13,99.44
244003,1983,2,12,43,-18.69,-23.25,-20.97,4.93,0,4.93,0.58,4,99.38
244003,1983,2,13,44,-11.63,-19.51,-15.57,0,0,0,0.58,4.26,98.25
244003,1983,2,14,45,-9.08,-23.3,-16.19,0,0,0,0.59,4.43,99.56
244003,1983,2,15,46,-22.13,-26.23,-24.18,2.67,0,2.67,0.55,4.84,98.62
244003,1983,2,16,47,-21.15,-24.89,-23.02,0,0,0,0.49,5.01,98.94
244003,1983,2,17,48,-20.95,-26.48,-23.71,1.88,0,1.88,0.45,5.27,99.31
244003,1983,2,18,49,-15.11,-25.22,-20.16,0,0,0,0.3,5.41,99.31
244003,1983,2,19,50,-12.78,-19.42,-16.1,0,0,0,0.52,5.1,99.06
244003,1983,2,20,51,-9.52,-20.42,-14.97,0,0,0,0.38,5.91,99.69
244003,1983,2,21,52,-1.86,-12.36,-7.11,0,0,0,0.46,5.59,99.62
244003,1983,2,22,53,-7.6,-12.87,-10.23,0,0,0,0.48,5.79,95.94
244003,1983,2,23,54,-9.61,-15.15,-12.38,4.13,0,4.13,0.41,6.04,99.94
244003,1983,2,24,55,-0.74,-10.36,-5.55,2.14,0,2.14,0.48,6.38,97.56
244003,1983,2,25,56,-9.85,-20.01,-14.93,0,0,0,0.53,6.49,99.12
244003,1983,2,26,57,-18.63,-24.22,-21.42,0,0,0,0.55,6.69,98.81
244003,1983,2,27,58,-16.95,-25.17,-21.06,0,0,0,0.4,6.36,99.25
244003,1983,2,28,59,-12.65,-21.87,-17.26,0,0,0,0.38,7.6,99.56
244003,1983,3,1,60,-15.3,-22.52,-18.91,2.59,0,2.59,0.48,7.06,99.38
244003,1983,3,2,61,-14.1,-22.28,-18.19,0,0,0,0.43,6.96,98.94
244003,1983,3,3,62,-13.38,-18.74,-16.06,0,0,0,0.64,7.66,98.62
244003,1983,3,4,63,-12.26,-21.42,-16.84,0,0,0,0.76,7.62,96
244003,1983,3,5,64,-14.93,-24.27,-19.6,0,0,0,0.41,8.21,98.5
244003,1983,3,6,65,-12.86,-26.26,-19.56,0,0,0,0.55,7.86,98.94
244003,1983,3,7,66,-10.81,-22.2,-16.5,0,0,0,0.59,8.5,98
244003,1983,3,8,67,-10.86,-23.58,-17.22,0,0,0,0.43,9.14,99.44
244003,1983,3,9,68,-2.17,-12.35,-7.26,9.63,0,9.63,0.33,9.14,99.75
244003,1983,3,10,69,0.02,-6.88,-3.43,0,0,0,0.36,8.85,99.5
244003,1983,3,11,70,-0.41,-8.73,-4.57,0,0,0,0.4,9,96.81
244003,1983,3,12,71,-9.01,-16.44,-12.73,0,0,0,0.38,9.68,99.75
