JulianDay, ClimateParameter, InputTemperature,InputPrecipitation,InputEvapotranspiration,GreenAreaIndex, SurfaceTemperature, SoilTemperature, CropCoefficient, CropInterception, VolumetricSoilWaterContent, ActualEvapotranspiration, DeepPercolation, ReferenceEvapotranspiration, SoilAvailableWater, WaterStorage, ClimateParamterTemperature, ClimateParameterWater, FieldCapacity, WiltingPoint
1,0.0960523164554283,-10.66,0.08,0, 4.60716746800396E-21,-2.132,0, 0.8, 0, 0.369714619555102, 0, 0, 0, 0.08, 92.5086548887755, 0.0125217292542804, 0.806666666666667, 0.369714619555102, 0.227997481880444
2,0.0958530639344856,-7.75,0.33,0, 8.05220985090131E-21,-1.55,-0.30078443767158, 0.8, 0, 0.370034619555102, 0, 0.0799999999999983, 0, 0.33, 92.7586548887755, 0.0125217292542804, 0.804993303932428, 0.369714619555102, 0.227997481880444
3,0.0806779180536193,-4.68,0.88,0, 1.40264743572865E-20,-0.936,-0.424050860713639, 0.8, 0, 0.371034619555102, 0, 0.329999999999998, 0, 0.88, 93.3086548887755, 0.010608241157432, 0.799764045387933, 0.369714619555102, 0.227997481880444
4,0.0739827011338891,-10.32,0,0, 2.43519818427965E-20,-2.064,-0.742290331468632, 0.8, 0, 0.373234619555102, 0, 0.879999999999995, 0, 0, 92.4286548887755, 0.00986987040222025, 0.788259676590043, 0.369714619555102, 0.227997481880444
5,0.0620321409268183,-9.56,0.09,0, 4.21378576999162E-20,-1.912,-0.969277728170709, 0.8, 0, 0.369714619555102, 0, 0, 0, 0.09, 92.5186548887755, 0.00808673546264159, 0.806666666666667, 0.369714619555102, 0.227997481880444
6,0.0529840812095727,-9.99,0,0, 7.2671302604661E-20,-1.998,-1.16890588949484, 0.8, 0, 0.370074619555102, 0, 0.0900000000000034, 0, 0, 92.4286548887755, 0.00692335465802405, 0.804784133590648, 0.369714619555102, 0.227997481880444
7,0.0458320511293902,-1.54,0.55,0, 1.24912468006993E-19,-0.308,-1.00184324829493, 0.8, 0, 0.369714619555102, 0, 0, 0, 0.55, 92.9786548887755, 0.00597483284723141, 0.806666666666667, 0.369714619555102, 0.227997481880444
8,0.0511445550513648,-1.85,0.1,0, 2.1399369872924E-19,-0.37,-0.87923123788527, 0.8, 0, 0.371914619555102, 0, 0.549999999999997, 0, 0.1, 92.5286548887755, 0.00676385364801224, 0.795162297868777, 0.369714619555102, 0.227997481880444
9,0.0564186728646442,-9.43,0.03,0, 3.65383164748719E-19,-1.886,-1.0745992223872, 0.8, 0, 0.370114619555102, 0, 0.0999999999999943, 0, 0.03, 92.4586548887755, 0.00737406445570792, 0.804574963248869, 0.369714619555102, 0.227997481880444
10,0.0491642583939203,-20.74,0.66,0, 6.21796728370525E-19,-4.148,-1.67100639957021, 0.8, 0, 0.369834619555102, 0, 0.0300000000000011, 0, 0.66, 93.0886548887755, 0.00641422116595694, 0.806039155641327, 0.369714619555102, 0.227997481880444
11,0.029388535460574,-12.56,0.37,0, 1.05463136669761E-18,-2.512,-1.83420497195129, 0.8, 0, 0.372354619555102, 0, 0.659999999999997, 0, 0.37, 92.7986548887755, 0.00389790484826049, 0.792861424109199, 0.369714619555102, 0.227997481880444
12,0.0252076062943916,-1.26,0.93,0, 1.78281092561212E-18,-0.252,-1.52717101532577, 0.8, 0, 0.371194619555102, 0, 0.370000000000005, 0, 0.93, 93.3586548887755, 0.00331798858982274, 0.798927364020813, 0.369714619555102, 0.227997481880444
13,0.0332950211226091,-6.35,0.2,0, 3.00373933374429E-18,-1.27,-1.47726582872565, 0.8, 0, 0.373434619555102, 0, 0.930000000000007, 0, 0.2, 92.6286548887755, 0.00444771713934547, 0.787213824881144, 0.369714619555102, 0.227997481880444
14,0.035461224261018,-8.98,0,0, 5.04395900411366E-18,-1.796,-1.53911762128918, 0.8, 0, 0.370514619555102, 0, 0.200000000000003, 0, 0, 92.4286548887755, 0.00464695343809872, 0.80248325983107, 0.369714619555102, 0.227997481880444
15,0.0337568851710619,-8.97,0.07,0, 8.44176399077295E-18,-1.794,-1.58857868771043, 0.8, 0, 0.369714619555102, 0, 0, 0, 0.07, 92.4986548887755, 0.00440067030320934, 0.806666666666667, 0.369714619555102, 0.227997481880444
