sep =,
Farm, Field, Time period, Year, Notes, Crop, Yield (kg ha^-1),Moisture content (%),Harvest method,Tillage type,Product returned to soil (%),Straw returned to soil (%),Roots returned to soil (%),Relative C allocation coefficient of product,Relative C allocation coefficient of straw,Relative C allocation coefficient of roots,Relative C allocation coefficient of extraroots,Climate Factor (re_crop),Tillage Factor (r_c),Management factor (r_e),Plant Carbon in Product (C_p) (kg C ha^-1),Carbon input from product (C_ptoSoil) (kg C ha^-1),Carbon input from straw (C_s) (kg C ha^-1),Carbon input from roots (C_r) (kg C ha^-1),Carbon input from extraroots (C_e) (kg C ha^-1),Average Soil Carbon All Fields in Farm (C_t_avg_fields) (kg C ha^-1),Soil Carbon (C_t) (kg C ha^-1),Measured Soil Carbon (C_t_measured) (kg C ha^-1),Soil Carbon RMSE (C_t_rmse) (kg C ha^-1),Soil Carbon MAE (C_t_mae) (kg C ha^-1),Calculated C Difference From Start of Year (calculated_C_t_difference_from_start_year) (kg C ha^-1),Measured Carbon Difference from Start of Year (measured_C_t_difference_from_start_year) (kg C ha^-1),Change in soil carbon (delta_C_t) (kg C ha^-1),Above Ground Carbon Input (i_ag) (kg C ha^-1),Below Ground Carbon Input (i_bg) (kg C ha^-1),Manure Carbon Input (i_m) (kg year^-1),Young Pool Above Ground (Y_ag) (kg C ha^-1),Young Pool Below Ground (Y_bg) (kg C ha^-1),Old Pool Soil Carbon (O_t) (kg C ha^-1),Synthetic Inputs Before Adjustments (N_SN) (kg N),Above Ground Nitrogen Residue for Crops (AGresidueN_Crop) (kg N ha^-1),Below Ground Residue N for Crop  (BGresidueN_Crop) (kg N ha^-1),Above Ground Residue Pool (AGresidueN_Field) (kg N ha^-1),Below Ground Residue Pool (BGresidueN_Field) (kg N ha^-1),Crop residues before adjustment (N_CropResidues) (kg N ha^-1),Manure residue pool (ManureN) (kg N),Crop nitrogen demand (CropN_demand) (kg N),N Mineralization from Decomposition of old Carbon (N_min_fromDecompositionOfOldCarbon) (kg N),Old Pool Nitrogen Requirements (delta_O_Ndemand) (kg N),Microbial pool (after budget close) (kg N),Microbial pool (after old pool reduction) (kg N),Microbial pool (after crop demand reduction) (kg N),MIneral Nitrogen Pool (mineralN) (kg N),Microbial Nitrogen Pool (microbeN) (kg N),Mineral Nitrogen Balance (N_mineralNbalance) (kg N),Microbial Nitrogen Balance (N_microbeNbalance) (kg N),Total N inputs (kg N),Total N emissions (kg N),Total N uptake (kg N),Total N outputs (kg N),Total N difference (kg N),Microbe death (kg N),Mineral + microbial (kg N),Overflow (kg N),Ratio (kg N),N2O Direct (kg N2O),N2O-N_direct (kg N2O-N),N2O-N from Synthetic Nitrogen (N2O-N_SNdirect) (kg N2O-N),N2O-N From Crop Residues (N2O-N_CRNdirect) (kg N2O-N),N2O-N from Nitrogen Mineralization (N2O-N_CRNmindirect) (kg N2O-N),N2O-N from Organic Nitrogen (N2O-N_ONdirect) (kg N2O-N),N2O Indirect (kg N2O),N2O-N_indirect (kg N2O-N),N2O-N from Synthetic Nitrogen Leaching (N2O-N_SNleach) (kg N2O-N),N2O-N from Crop Residue Leaching (N2O-N_CRNleach) (kg N2O-N),N2O-N from Mineral Leaching (N2O-N_minleach) (kg N2O-N),N2O-N from Organic Nitrogen Leaching (N2O-N_ONleach) (kg N2O-N),N2O-N from Synthetic Nitrogen Volatilization (N2O-N_SNvolatilization) (kg N2O-N),NO-N_total (Kg NO-N),NO3-N_totalLeach (kg NO3-N ha^-1),NH4-N_volatilized (kg NH4-N ha^-1),Denitrification for area (N2-N_loss) (kg N2-N ha^-1)
"test","wheat no irri","Current","1990","","Wheat","3700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.54","1.00","1.54","0.00","0.00","0.00","0.00","0.00","52868.19","52868.19","0.00","0.00","0.00","0.00","0.00","-626.04","3481.11","797.17","0.00","0.00","0.00","0.00","5.00","32.08","11.45","32.08","11.45","43.52","0.00","43.52","0.00","0.00","56.37","56.37","12.85","22.27","10.28","22.27","-14.72","48.52","17.15","43.52","60.67","-12.15","2.57","32.55","52.25","0.00","2.78","1.77","0.21","1.55","0.00","0.00","0.27","0.17","0.02","0.14","0.00","0.00","0.01","0.18","14.40","0.64","0.00",
"test","wheat no irri","Current","1991","","Wheat","2700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.62","1.00","1.62","0.00","0.00","0.00","0.00","0.00","52213.88","52213.88","0.00","0.00","0.00","0.00","0.00","-654.31","2628.60","601.95","0.00","0.00","0.00","0.00","5.00","24.22","8.64","24.22","8.64","32.86","0.00","32.86","21.66","0.00","48.91","35.14","17.24","0.00","13.03","-23.03","3.51","59.52","20.89","58.16","79.04","-19.52","3.45","13.03","13.03","0.46","3.40","2.16","0.21","1.17","0.77","0.00","0.32","0.21","0.02","0.11","0.07","0.00","0.01","0.22","17.66","0.64","-19.70",
"test","wheat no irri","Current","1992","","Wheat","3200.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.35","1.00","1.35","0.00","0.00","0.00","0.00","0.00","52031.29","52031.29","0.00","0.00","0.00","0.00","0.00","-182.59","3062.14","701.23","0.00","0.00","0.00","0.00","5.00","28.22","10.07","28.22","10.07","38.28","0.00","38.28","25.64","0.00","57.88","28.41","-9.87","0.00","-9.87","0.00","-22.90","68.93","24.08","67.75","91.83","-22.90","0.00","-9.87","-9.87","0.00","3.92","2.50","0.21","1.37","0.92","0.00","0.37","0.24","0.02","0.13","0.08","0.00","0.01","0.25","20.45","0.64","0.00",
"test","wheat no irri","Current","1993","","Wheat","2900.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.48","1.00","1.48","0.00","0.00","0.00","0.00","0.00","51787.65","51787.65","0.00","0.00","0.00","0.00","0.00","-243.64","2803.81","642.07","0.00","0.00","0.00","0.00","5.00","25.84","9.22","25.84","9.22","35.05","0.00","35.05","24.56","0.00","32.13","5.15","-29.90","0.00","-29.90","0.00","-20.03","64.61","22.61","62.03","84.65","-20.03","0.00","-29.90","-29.90","0.00","3.68","2.34","0.21","1.25","0.88","0.00","0.35","0.22","0.02","0.12","0.08","0.00","0.01","0.23","19.17","0.64","0.00",
"test","wheat no irri","Current","1994","","Wheat","3000.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.62","1.00","1.62","0.00","0.00","0.00","0.00","0.00","51674.56","51674.56","0.00","0.00","0.00","0.00","0.00","-113.08","2890.51","661.93","0.00","0.00","0.00","0.00","5.00","26.63","9.50","26.63","9.50","36.14","0.00","36.14","25.46","0.00","13.40","-14.41","-50.55","0.00","-50.55","0.00","-20.64","66.59","23.29","63.95","87.24","-20.64","0.00","-50.55","-50.55","0.00","3.79","2.41","0.21","1.29","0.91","0.00","0.36","0.23","0.02","0.12","0.08","0.00","0.01","0.24","19.76","0.64","0.00",
"test","wheat no irri","Current","1995","","Wheat","3300.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.52","1.00","1.52","0.00","0.00","0.00","0.00","0.00","51697.21","51697.21","0.00","0.00","0.00","0.00","0.00","22.65","3147.07","720.68","0.00","0.00","0.00","0.00","5.00","29.00","10.35","29.00","10.35","39.34","0.00","39.34","27.54","0.00","-3.74","-34.02","-73.37","0.00","-73.37","0.00","-22.82","71.89","25.08","69.63","94.71","-22.82","0.00","-73.37","-73.37","0.00","4.09","2.60","0.21","1.41","0.98","0.00","0.39","0.25","0.02","0.13","0.09","0.00","0.01","0.26","21.33","0.64","0.00",
"test","wheat no irri","Current","1996","","Wheat","2700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.50","1.00","1.50","0.00","0.00","0.00","0.00","0.00","51469.61","51469.61","0.00","0.00","0.00","0.00","0.00","-227.60","2628.60","601.95","0.00","0.00","0.00","0.00","5.00","24.22","8.64","24.22","8.64","32.86","0.00","32.86","24.09","0.00","-33.13","-58.42","-91.29","0.00","-91.29","0.00","-17.92","61.95","21.71","58.16","79.87","-17.92","0.00","-91.29","-91.29","0.00","3.53","2.25","0.21","1.17","0.86","0.00","0.34","0.21","0.02","0.11","0.08","0.00","0.01","0.22","18.38","0.64","0.00",
"test","wheat no irri","Current","1997","","Wheat","2800.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.39","1.00","1.39","0.00","0.00","0.00","0.00","0.00","51371.44","51371.44","0.00","0.00","0.00","0.00","0.00","-98.17","2716.51","622.08","0.00","0.00","0.00","0.00","5.00","25.03","8.93","25.03","8.93","33.96","0.00","33.96","24.53","0.00","-50.03","-76.16","-110.13","0.00","-110.13","0.00","-18.84","63.49","22.23","60.10","82.34","-18.84","0.00","-110.13","-110.13","0.00","3.62","2.30","0.21","1.21","0.88","0.00","0.34","0.22","0.02","0.11","0.08","0.00","0.01","0.23","18.84","0.64","0.00",
"test","wheat no irri","Current","1998","","Wheat","2700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.82","1.00","1.82","0.00","0.00","0.00","0.00","0.00","51252.06","51252.06","0.00","0.00","0.00","0.00","0.00","-119.39","2628.60","601.95","0.00","0.00","0.00","0.00","5.00","24.22","8.64","24.22","8.64","32.86","0.00","32.86","23.85","0.00","-70.04","-95.34","-128.20","0.00","-128.20","0.00","-18.07","61.71","21.63","58.16","79.79","-18.07","0.00","-128.20","-128.20","0.00","3.52","2.24","0.21","1.17","0.85","0.00","0.33","0.21","0.02","0.11","0.08","0.00","0.01","0.22","18.31","0.64","0.00",
"test","wheat no irri","Current","1999","","Wheat","2900.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.69","1.00","1.69","0.00","0.00","0.00","0.00","0.00","51236.40","51236.40","0.00","0.00","0.00","0.00","0.00","-15.66","2803.81","642.07","0.00","0.00","0.00","0.00","5.00","25.84","9.22","25.84","9.22","35.05","0.00","35.05","25.04","0.00","-85.89","-112.86","-147.92","0.00","-147.92","0.00","-19.72","65.09","22.78","62.03","84.81","-19.72","0.00","-147.92","-147.92","0.00","3.71","2.36","0.21","1.25","0.89","0.00","0.35","0.22","0.02","0.12","0.08","0.00","0.01","0.24","19.31","0.64","0.00",
"test","wheat no irri","Current","2000","","Wheat","2600.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.58","1.00","1.58","0.00","0.00","0.00","0.00","0.00","51088.86","51088.86","0.00","0.00","0.00","0.00","0.00","-147.53","2540.07","581.68","0.00","0.00","0.00","0.00","5.00","23.40","8.35","23.40","8.35","31.76","0.00","31.76","23.20","0.00","-108.99","-133.44","-165.19","0.00","-165.19","0.00","-17.27","59.96","21.03","56.20","77.23","-17.27","0.00","-165.19","-165.19","0.00","3.42","2.18","0.21","1.13","0.83","0.00","0.33","0.21","0.02","0.10","0.08","0.00","0.01","0.22","17.79","0.64","0.00",
"test","wheat no irri","Current","2001","","Wheat","3500.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.59","1.00","1.59","0.00","0.00","0.00","0.00","0.00","51315.74","51315.74","0.00","0.00","0.00","0.00","0.00","226.88","3315.22","759.19","0.00","0.00","0.00","0.00","5.00","30.55","10.90","30.55","10.90","41.45","0.00","41.45","28.70","0.00","-116.23","-148.13","-189.58","0.00","-189.58","0.00","-24.39","75.14","26.19","73.35","99.53","-24.39","0.00","-189.58","-189.58","0.00","4.27","2.72","0.21","1.48","1.03","0.00","0.40","0.26","0.02","0.14","0.09","0.00","0.01","0.27","22.30","0.64","0.00",
"test","wheat no irri","Current","2002","","Wheat","3700.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.51","1.00","1.51","0.00","0.00","0.00","0.00","0.00","51479.99","51479.99","0.00","0.00","0.00","0.00","0.00","164.24","3481.11","797.17","0.00","0.00","0.00","0.00","5.00","32.08","11.45","32.08","11.45","43.52","0.00","43.52","30.39","0.00","-138.13","-171.63","-215.15","0.00","-215.15","0.00","-25.57","78.91","27.47","77.02","104.48","-25.57","0.00","-215.15","-215.15","0.00","4.48","2.85","0.21","1.55","1.09","0.00","0.42","0.27","0.02","0.14","0.10","0.00","0.01","0.29","23.41","0.64","0.00",
"test","wheat no irri","Current","2003","","Wheat","3500.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.46","1.00","1.46","0.00","0.00","0.00","0.00","0.00","51495.76","51495.76","0.00","0.00","0.00","0.00","0.00","15.77","3315.22","759.19","0.00","0.00","0.00","0.00","5.00","30.55","10.90","30.55","10.90","41.45","0.00","41.45","29.59","0.00","-165.60","-197.50","-238.95","0.00","-238.95","0.00","-23.80","76.04","26.49","73.35","99.84","-23.80","0.00","-238.95","-238.95","0.00","4.32","2.75","0.21","1.48","1.06","0.00","0.41","0.26","0.02","0.14","0.10","0.00","0.01","0.28","22.56","0.64","0.00",
"test","wheat no irri","Current","2004","","Wheat","3100.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.60","1.00","1.60","0.00","0.00","0.00","0.00","0.00","51361.79","51361.79","0.00","0.00","0.00","0.00","0.00","-133.97","2976.62","681.65","0.00","0.00","0.00","0.00","5.00","27.43","9.79","27.43","9.79","37.21","0.00","37.21","27.24","0.00","-193.75","-222.40","-259.61","0.00","-259.61","0.00","-20.66","69.45","24.26","65.86","90.11","-20.66","0.00","-259.61","-259.61","0.00","3.95","2.52","0.21","1.33","0.97","0.00","0.37","0.24","0.02","0.12","0.09","0.00","0.01","0.25","20.61","0.64","0.00",
"test","wheat no irri","Current","2005","","Wheat","2800.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.68","1.00","1.68","0.00","0.00","0.00","0.00","0.00","51172.96","51172.96","0.00","0.00","0.00","0.00","0.00","-188.82","2716.51","622.08","0.00","0.00","0.00","0.00","5.00","25.03","8.93","25.03","8.93","33.96","0.00","33.96","25.17","0.00","-217.93","-244.07","-278.03","0.00","-278.03","0.00","-18.42","64.13","22.45","60.10","82.55","-18.42","0.00","-278.03","-278.03","0.00","3.65","2.33","0.21","1.21","0.90","0.00","0.35","0.22","0.02","0.11","0.08","0.00","0.01","0.23","19.03","0.64","0.00",
"test","wheat no irri","Current","2006","","Wheat","3600.00","12.00","Cash crop","Intensive tillage","2.00","100.00","100.00","0.219","0.551","0.136","0.095","1.63","1.00","1.63","0.00","0.00","0.00","0.00","0.00","51341.84","51341.84","0.00","0.00","0.00","0.00","0.00","168.88","3398.45","778.24","0.00","0.00","0.00","0.00","5.00","31.31","11.17","31.31","11.17","42.49","0.00","42.49","29.84","0.00","-227.63","-260.33","-302.82","0.00","-302.82","0.00","-24.79","77.33","26.93","75.19","102.12","-24.79","0.00","-302.82","-302.82","0.00","4.39","2.80","0.21","1.52","1.07","0.00","0.42","0.26","0.02","0.14","0.10","0.00","0.01","0.28","22.94","0.64","0.00",
